grid_size,num_nodes,num_processors,time_elapsed,baseline_time,speedup,ideal_speedup,efficiency,iterations,optimal_omega
80,6400,2,42.992872,42.992872,1.0,1.0,100.0,1548,1.92444
80,6400,8,4.742574,42.992872,9.065303356363021,4.0,226.63258390907552,1514,1.92444
80,6400,16,1.770459,42.992872,24.283460955605296,8.0,303.5432619450662,1482,1.92444
80,6400,32,0.836948,42.992872,51.36862983124399,16.0,321.053936445275,1192,1.92444
120,14400,2,199.824473,199.824473,1.0,1.0,100.0,1530,1.94898
120,14400,8,17.049932,199.824473,11.719957182233925,4.0,292.9989295558481,1485,1.94898
120,14400,16,7.080499,199.824473,28.22180654216603,8.0,352.77258177707535,1448,1.94898
120,14400,32,2.931141,199.824473,68.17293095077991,16.0,426.0808184423745,1334,1.94898
200,40000,2,1513.108457,1513.108457,1.0,1.0,100.0,1553,1.96907
200,40000,8,110.713262,1513.108457,13.666912433670323,4.0,341.67281084175806,1482,1.96907
200,40000,16,37.12747,1513.108457,40.75441868244725,8.0,509.43023353059067,1470,1.96907
200,40000,32,15.383075,1513.108457,98.36189819005628,16.0,614.7618636878517,1425,1.96907
