filename,grid_size,num_nodes,num_processors,optimal_omega,iterations,error,time_elapsed
job_80_p2.5395.out,80,6400,2,1.875235,1739,8.881784e-16,49.087395
job_80_p8.5396.out,80,6400,8,1.662174,3833,0.0,11.021924
job_80_p16.5397.out,80,6400,16,1.469061,2200,9.985083e-07,2.603583
job_80_p32.5398.out,80,6400,32,1.314089,3236,9.992114e-07,2.152278
job_120_p2.5399.out,120,14400,2,1.904105,1643,8.881784e-16,214.297235
job_120_p8.5400.out,120,14400,8,1.75286,2459,4.440892e-16,28.482843
job_120_p16.5401.out,120,14400,16,1.606143,6023,0.0,27.142583
job_120_p32.5402.out,120,14400,32,1.401311,5240,9.992636e-07,10.330772
job_200_p2.5403.out,200,40000,2,1.928576,1654,1.665335e-15,1597.334192
job_200_p8.5404.out,200,40000,8,1.838393,1865,7.771561e-16,139.528674
job_200_p16.5405.out,200,40000,16,1.725346,2729,0.0,67.00537
job_200_p32.5406.out,200,40000,32,1.569846,8703,0.0,89.607593
